fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
altamira21.com,piso,apartamento,Via Cornelia 28,General Dávila,Santander,210000.0,,3.0,74.0,2.0,1.0,0.0,0
Gestion inmobiliaria Victoria,dúplex,,Barrio Mioño,Mioño-Santullán,Castro-Urdiales,260000.0,,3.0,124.0,2.0,1.0,0.0,0
Pereda 36,casa,casa independiente,Valdenoja,Valdenoja,Santander,1495000.0,1.0,5.0,462.0,0.0,,,0
Inmobiliaria PAS-NuevoPiso,piso,apartamento,Calle Lauro Fernández González,Alisal - Cazoña - San Román,Santander,349000.0,1.0,3.0,92.0,1.0,1.0,1.0,0
Inmobiliaria las Dunas,piso,apartamento,Calle Jorge Sepúlveda,Monte,Santander,379000.0,1.0,2.0,80.0,1.0,1.0,1.0,0
Inmobiliaria Barrio,piso,apartamento,Numancia - San Fernando,Numancia - San Fernando,Santander,165000.0,,3.0,66.0,5.0,,0.0,0
RK IDEPISOS,piso,apartamento,Calle Río de la Pila,General Dávila,Santander,135000.0,,1.0,34.0,5.0,1.0,0.0,0
Inmobiliaria PAS-NuevoPiso,piso,apartamento,Calle la Amistad,General Dávila,Santander,164000.0,,3.0,60.0,5.0,1.0,0.0,0
Inmobiliaria PAS-NuevoPiso,piso,apartamento,Calle Francisco Palazuelos,General Dávila,Santander,169900.0,,3.0,61.0,2.0,1.0,0.0,0
Inmobiliaria PAS-NuevoPiso,piso,apartamento,Calle Casimiro Sainz,Inmobiliaria - Barreda,Torrelavega,134000.0,,3.0,96.0,2.0,1.0,1.0,0
Inmobiliarias San Fernando,piso,apartamento,Calle Francisco Tomás y Valiente,Peñacastillo - Nuevamontaña,Santander,260000.0,1.0,3.0,89.0,1.0,1.0,1.0,0
Gestion inmobiliaria Victoria,casa,casa independiente,Samano,Sámano,Castro-Urdiales,435000.0,,4.0,191.0,0.0,,,0
CHOMON (Margen Izquierda),piso,apartamento,Calle de San Juan,Ris,Noja,245000.0,,3.0,90.0,1.0,1.0,0.0,0
Inmobiliaria Uranga,piso,apartamento,Calle Gutiérrez Rada,Centro,Laredo,175000.0,,2.0,89.0,0.0,1.0,0.0,0
Inmobiliaria Uranga,piso,apartamento,Barrio Oriñón,Oriñón-Allendagua,Castro-Urdiales,195000.0,1.0,2.0,70.0,3.0,1.0,1.0,0
Inmonojasol s.l,piso,apartamento,Calle Castrejón,Ris,Noja,210000.0,,2.0,65.0,1.0,1.0,0.0,0
Inmonojasol s.l,piso,apartamento,Avenida Ris,Ris,Noja,235000.0,,2.0,74.0,0.0,1.0,1.0,0
Inmonojasol s.l,piso,apartamento,Calle Victoria,Tregadín,Noja,240000.0,1.0,2.0,60.0,0.0,1.0,0.0,0
Inmonojasol s.l,piso,apartamento,Calle Los Pinares,Ris,Noja,220000.0,1.0,2.0,60.0,2.0,1.0,0.0,0
ACERO Inmobiliaria,dúplex,,Calle Manuel González Hoyos,Valdenoja,Santander,930000.0,1.0,4.0,192.0,4.0,1.0,1.0,0
Inmonojasol s.l,piso,apartamento,Calle Padre Pedro López,Tregadín,Noja,185000.0,,2.0,60.0,2.0,1.0,0.0,0
Básico Homes,piso,apartamento,Calle Hermanos Calderón,Peñacastillo - Nuevamontaña,Santander,243000.0,1.0,3.0,87.0,1.0,1.0,1.0,0
Inmonojasol s.l,piso,apartamento,Avenida Ris,Ris,Noja,269000.0,1.0,3.0,75.0,4.0,1.0,1.0,0
Gestion inmobiliaria Victoria,casa,casa independiente,Samano,Sámano,Castro-Urdiales,950000.0,1.0,6.0,418.0,0.0,,,0
Gestion inmobiliaria Victoria,piso,apartamento,Playa Ostende,Playa Ostende,Castro-Urdiales,350000.0,0.0,2.0,98.0,2.0,1.0,1.0,0
Distrito inmobiliario,casa,casa independiente,Calle Luis Martínez,El Sardinero,Santander,2900000.0,1.0,5.0,391.0,0.0,,,0
