id,tipo_inmueble,titulo,municipio,zona,precio_mensual_eur,habitaciones,superficie_m2,planta,exterior,ascensor,garaje_incluido,garaje_opcional,temporada,lujo,vistas_mar,amueblado,observaciones
76,Piso,José Felipe Quijano 6,Torrelavega,Centro,580,1,45,3,1,0,0,0,0,0,0,null,Apartamento/estudio centro
77,Piso,República de Colombia (quincena julio),Laredo,Zona Playa,2200,2,65,14,1,1,0,0,1,0,0,null,Temporada quincenas julio
78,Piso,República de Colombia (apto 47m2),Laredo,Zona Playa,3200,1,47,7,1,1,1,0,0,0,0,null,Apartamento cerca playa garaje incluido (temporal implícito)
79,Piso,Lope de Vega 18,Santander,Puerto Chico,1300,3,113,4,1,1,0,0,0,0,0,null,Centro cerca Paseo Pereda
80,Piso,República de Colombia (apto 60m2),Laredo,Zona Playa,3300,2,60,5,1,1,0,0,1,1,0,null,Temporada lujo apartamento reformado
81,Piso,Avenida de la Libertad 1,Laredo,El Puntal,1700,3,75,3,1,1,0,0,1,0,1,null,Verano quincenas rebaja 1900->1700 vistas mar
82,Piso,Avenida de la Libertad 80,Laredo,El Puntal,1100,1,50,2,1,1,0,0,1,0,0,null,Verano quincenas rebaja 1200->1100
83,Piso,Maximino Basoa Ojeda 4,Laredo,Centro,1400,2,48,3,null,0,0,0,1,0,0,1,Verano reformado amueblado sin ascensor
84,Piso,Centro (julio completo),Laredo,Centro/El Puntal?,3300,2,80,3,null,1,1,0,1,0,0,null,Julio 3300 agosto 3800 (temporal)
85,Estudio,Zona Playa (larga duración),Laredo,Zona Playa,650,1,35,2,null,1,0,0,0,0,0,null,Primera línea playa larga duración solvencia
86,Piso,Menéndez Pelayo 7,Laredo,Centro,2200,4,184,4,1,1,0,0,1,0,0,null,Verano quincenas
87,Casa independiente,Doctor Senderos 11,Laredo,Carlos V,7000,4,221,null,null,null,1,0,1,1,1,null,Verano julio 7000 vistas mar lujo primera línea
88,Chalet,Av. Derechos Humanos 58,Laredo,El Puntal,2800,4,155,null,null,null,1,0,1,0,0,null,Verano quincenas
89,Piso,Avenida de Francia 122b,Laredo,El Puntal,3800,3,70,4,1,1,0,0,1,1,1,null,Verano primera línea vistas mar lujo
90,Piso,Avenida de Francia 99,Laredo,El Puntal,2500,3,120,8,null,1,0,0,1,0,0,null,Temporal junio y septiembre vistas mar
91,Piso,San Lorenzo 9,Laredo,Centro,1200,2,70,1,null,0,0,0,1,0,0,null,Verano quincenas sin ascensor
92,Piso,Centro (larga duración),Laredo,Centro,1100,3,100,2,null,1,0,0,0,0,0,null,Larga duración solvencia
93,Piso,Lealtad 20,Santander,Centro-Ayuntamiento,1600,4,122,7,1,1,0,0,0,0,0,null,A estrenar / reformado (ojo posible duplicado con otro Lealtad 20)
94,Piso,Zona Playa (invierno hasta junio),Laredo,Zona Playa,650,2,60,15,null,1,0,0,1,0,0,null,Temporada invierno hasta junio terraza
95,Ático,Zona Playa (enero-mayo),Laredo,Zona Playa,680,1,30,16,null,1,1,0,1,0,0,null,Temporal enero-mayo gran terraza 30m2
96,Casa independiente,Poblado Adal 78a,Barcena de Cicero,Treto,1500,3,396,null,null,null,1,0,1,0,0,null,Temporal vistas bahía
97,Chalet adosado,Ría de Solía,El Astillero,,1200,4,180,null,null,null,1,0,0,0,0,null,Adosado con jardín 37m2
98,Piso,Bajada de la Encina,Santander,Los Castros,1200,2,70,null,null,1,0,0,1,0,0,1,Spotahome gastos incluidos (agua luz gas wifi) amueblado
